	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d
	Gaitway.Time	Gaitway.Speed	Gaitway.Grade	Gaitway.GRFx	Gaitway.GRFy	Gaitway.GRFz	Gaitway.CoPx	Gaitway.CoPy	Gaitway.Mx	Gaitway.My	Gaitway.Mz	Gaitway.Tz	Gaitway.FxL	Gaitway.FyL	Gaitway.FzL	Gaitway.CoPxL	Gaitway.CoPyL	Gaitway.FxR	Gaitway.FyR	Gaitway.FzR	Gaitway.CoPxR	Gaitway.CoPyR
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
51	0.051	0.0	0.0	0.08	-3.2781	789.5013	0.5666	0.8687	685.87	-447.2938	-1.9145	0.0122										
52	0.052	0.0	0.0	0.0658	-3.2855	789.591	0.5665	0.8687	685.9298	-447.3382	-1.9047	0.0139										
53	0.053	0.0	0.0	0.0522	-3.292	789.6783	0.5665	0.8687	685.9887	-447.3812	-1.8952	0.0152										
54	0.054	0.0	0.0	0.0394	-3.2975	789.7631	0.5665	0.8687	686.0465	-447.4226	-1.8863	0.0161										
55	0.055	0.0	0.0	0.0274	-3.3021	789.8449	0.5665	0.8687	686.1031	-447.4622	-1.8779	0.0166										
56	0.056	0.0	0.0	0.0163	-3.3057	789.9236	0.5665	0.8686	686.1583	-447.4997	-1.8702	0.0166										
57	0.057	0.0	0.0	0.006	-3.3085	789.9989	0.5665	0.8686	686.2118	-447.535	-1.8633	0.0162										
58	0.058	0.0	0.0	-0.0033	-3.3104	790.0704	0.5665	0.8686	686.2633	-447.5677	-1.857	0.0154										
59	0.059	0.0	0.0	-0.0118	-3.3115	790.138	0.5665	0.8686	686.3126	-447.5978	-1.8515	0.0141										
60	0.06	0.0	0.0	-0.0195	-3.3118	790.2013	0.5665	0.8686	686.3593	-447.6249	-1.8465	0.0126										
61	0.061	0.0	0.0	-0.0264	-3.3114	790.26	0.5665	0.8686	686.403	-447.649	-1.8421	0.0107										
62	0.062	0.0	0.0	-0.0327	-3.3103	790.3141	0.5664	0.8686	686.4434	-447.6698	-1.8379	0.0087										
63	0.063	0.0	0.0	-0.0385	-3.3086	790.3631	0.5664	0.8686	686.48	-447.6873	-1.834	0.0067										
64	0.064	0.0	0.0	-0.0438	-3.3063	790.4069	0.5664	0.8686	686.5126	-447.7012	-1.8301	0.0046										
65	0.065	0.0	0.0	-0.0489	-3.3036	790.4454	0.5664	0.8685	686.5406	-447.7115	-1.826	0.0027										
66	0.066	0.0	0.0	-0.0538	-3.3004	790.4783	0.5664	0.8685	686.5639	-447.7182	-1.8216	0.001										
67	0.067	0.0	0.0	-0.0587	-3.2969	790.5057	0.5664	0.8685	686.582	-447.7211	-1.8166	-0.0003										
68	0.068	0.0	0.0	-0.0637	-3.2931	790.5274	0.5664	0.8685	686.5949	-447.7204	-1.811	-0.0013										
69	0.069	0.0	0.0	-0.069	-3.289	790.5436	0.5663	0.8685	686.6023	-447.716	-1.8045	-0.0017										
70	0.07	0.0	0.0	-0.0746	-3.2846	790.5542	0.5663	0.8685	686.6042	-447.708	-1.797	-0.0016										
71	0.071	0.0	0.0	-0.0805	-3.2801	790.5593	0.5663	0.8685	686.6006	-447.6965	-1.7885	-0.001										
72	0.072	0.0	0.0	-0.087	-3.2753	790.5593	0.5663	0.8685	686.5916	-447.6817	-1.7789	0.0003										
