Devices
1000
,,DelSys EMG - Voltage,,,Delsys ACC - Acceleration,,
Frame,Sub Frame,Right TA,Right GL,Right GM,1,2
,,V,V,V,mm/s²,mm/s²
40,3,0.016184,0.0321355,-0.0113392,33.68,23483.2
40,4,0.0133611,0.0330129,-0.0145054,931.812,23453.2
41,0,0.0201131,0.0346914,-0.0196934,381.706,23471.2
41,1,0.0222875,0.0399175,-0.0219059,-82.3288,23483.2
41,2,0.0207998,0.0346151,-0.0185108,-321.831,23483.2
41,3,0.0288488,0.0322118,-0.0166035,-14.9689,23480.2
41,4,0.0183584,0.028092,-0.0137806,108.524,23435.3
42,0,0.00275627,0.0365987,-0.0191212,482.746,23426.3
42,1,-0.0108622,0.037972,-0.0227451,-29.9377,23465.2
42,2,-0.000867691,0.0342718,-0.0231647,-523.911,23501.1
42,3,-0.00391945,0.0335088,-0.0183201,18.7111,23465.2
42,4,-0.000295486,0.0233999,-0.0125599,7.48444,23414.3
43,0,0.00542656,0.034577,-0.0178242,441.582,23408.3
43,1,-0.0197504,0.0370184,-0.0225163,-71.1021,23438.3
43,2,-0.0201319,0.0312582,-0.0216007,-479.004,23531.1
43,3,-0.0210093,0.0332037,-0.0194263,-819.546,23507.1
43,4,-0.00285133,0.0273672,-0.0154591,-153.431,23450.2
44,0,-0.0165842,0.0340047,-0.0188541,546.364,23438.3
44,1,-0.0203608,0.0357977,-0.0222111,-134.72,23471.2
44,2,0.000391159,0.034844,-0.0285053,-295.635,23501.1
44,3,-0.0113963,0.0342336,-0.0195789,-1354.68,23582
44,4,-0.00800117,0.0300375,-0.0162601,-134.72,23522.1
45,0,-0.000409927,0.0369421,-0.0185108,348.026,23495.1
45,1,-0.00693306,0.0354925,-0.020113,-149.689,23531.1
45,2,-0.00872597,0.0399938,-0.0301075,-134.72,23564
45,3,-0.00327095,0.0372854,-0.0203419,-972.977,23647.8
45,4,-0.018606,0.0327078,-0.017519,-299.377,23596.9
46,0,-0.0208567,0.0312963,-0.02038,246.986,23585
46,1,-0.0166224,0.0354543,-0.0194645,-48.6488,23593.9
46,2,-0.0188349,0.0422826,-0.0236607,-44.9066,23635.8
46,3,-0.00655159,0.0379339,-0.0216007,-523.911,23701.7
46,4,-0.0260447,0.0339666,-0.0179768,-318.089,23668.8
47,0,-0.0155161,0.0315252,-0.0137806,123.493,23653.8
47,1,-0.0213145,0.0349584,-0.0178623,812.061,23564
47,2,-0.0276469,0.0368276,-0.0215626,280.666,23674.8
47,3,-0.0216578,0.0382772,-0.0209522,-310.604,23725.7
47,4,9.68948e-06,0.0349203,-0.0185108,-288.151,23668.8
48,0,-0.00174507,0.03122,-0.0093174,-37.4222,23656.8
48,1,0.00393883,0.0345007,-0.0155735,759.67,23534.1
48,2,0.0167181,0.0349584,-0.0212193,321.831,23647.8
48,3,-0.000219192,0.0388876,-0.0220203,-160.915,23647.8
48,4,0.00847832,0.0343099,-0.0196171,-452.808,23596.9
49,0,0.0146581,0.0327078,-0.0165272,3.74222,23587.9
49,1,0.0309087,0.0294271,-0.0132847,190.853,23519.1
49,2,0.0309469,0.0343862,-0.0191975,389.191,23516.1
49,3,0.0331976,0.0383916,-0.0227451,-78.5866,23555
49,4,0.03644,0.0341573,-0.0191975,-460.293,23561
50,0,0.0043203,0.0323263,-0.0191593,-93.5555,23528.1
50,1,-0.00197395,0.0241247,-0.0135899,127.235,23486.2
50,2,-0.00250801,0.033547,-0.0188923,823.288,23492.1
50,3,-0.0183772,0.0369802,-0.02244,-11.2267,23528.1
50,4,-0.0126933,0.0344244,-0.0230885,-362.995,23635.8
51,0,0.00500694,0.0343481,-0.0187016,-243.244,23558
51,1,0.00828758,0.0272146,-0.0150394,-130.978,23531.1
51,2,-0.0013636,0.0335851,-0.0190067,452.808,23501.1
51,3,0.0018026,0.0351492,-0.0214481,381.706,23561
51,4,0.0139715,0.0349584,-0.0309086,-351.768,23608.9
52,0,0.021639,0.0354543,-0.0176716,-782.124,23593.9
52,1,0.0145818,0.0318685,-0.0147724,-11.2267,23543
52,2,0.0246145,0.0328985,-0.0196934,336.8,23489.2
52,3,0.0105383,0.0361791,-0.0204945,3.74222,23498.1
52,4,-0.0155924,0.0407186,-0.0326252,-355.511,23504.1
53,0,-0.00788673,0.0375143,-0.0199223,-1291.07,23534.1
53,1,0.00638023,0.0322881,-0.0175571,-78.5866,23486.2
53,2,0.00779167,0.0315252,-0.018549,246.986,23411.3
53,3,0.00531212,0.0353017,-0.0183964,-33.68,23447.2
53,4,0.0101949,0.0414434,-0.0235844,-202.08,23441.3
54,0,-0.00838264,0.0377813,-0.0201511,-901.875,23489.2
54,1,-0.0057505,0.0334707,-0.0183964,-160.915,23429.3
54,2,0.0049688,0.0315633,-0.0148869,239.502,23375.4
54,3,-0.00689491,0.0356069,-0.0168705,183.369,23378.4
54,4,-0.0120829,0.034577,-0.0222874,56.1333,23387.4
55,0,-0.0256632,0.0397268,-0.0218296,-351.768,23438.3
55,1,0.00672356,0.0363317,-0.0187778,-164.658,23405.3
55,2,0.00275627,0.0308004,-0.011301,18.7111,23366.4
55,3,-0.00536903,0.0349966,-0.0148106,718.506,23240.7
55,4,0.00607506,0.035111,-0.0196171,250.729,23405.3
56,0,-0.00727638,0.0382772,-0.0226307,-273.182,23417.3
56,1,-0.0117014,0.0311437,-0.0182056,-370.48,23366.4
56,2,-0.00658974,0.0316778,-0.0147343,112.267,23363.4
56,3,-0.00819191,0.0294653,-0.0152683,624.95,23276.6
56,4,-0.00418648,0.0345007,-0.0194645,437.84,23327.5
57,0,-0.0106715,0.0389257,-0.021944,-130.978,23357.4
57,1,-0.00990852,0.0341955,-0.019846,-520.168,23327.5
57,2,0.0163366,0.0333944,-0.0198841,71.1021,23306.5
57,3,0.0236227,0.024468,-0.0144291,-97.2977,23261.6
57,4,0.0372411,0.0345007,-0.0166416,452.808,23237.7
58,0,0.0295736,0.0360647,-0.0230503,-101.04,23264.6
58,1,0.0299932,0.0346914,-0.0215244,-348.026,23315.5
58,2,0.0356008,0.0365224,-0.0193882,-119.751,23261.6
58,3,0.0393011,0.0256124,-0.0140095,-59.8755,23189.8
58,4,0.0129415,0.033547,-0.0195026,493.973,23171.8
59,0,-0.00430092,0.0357214,-0.022974,41.1644,23264.6
59,1,-0.0184534,0.0349203,-0.0279713,-396.675,23270.6
59,2,-0.0403117,0.0345007,-0.0194263,-928.07,23231.7
59,3,-0.0290965,0.0307241,-0.0145054,-71.1021,23147.9
59,4,-0.0317286,0.0327078,-0.0194645,464.035,23150.9
60,0,-0.0358866,0.0360647,-0.0209141,-145.947,23171.8
60,1,-0.0360011,0.0391927,-0.0311756,-273.182,23183.8
60,2,-0.0326441,0.0362554,-0.02038,-1309.78,23225.7
60,3,-0.00163063,0.0329748,-0.0192738,86.071,23123.9
60,4,0.00351921,0.0315633,-0.0201893,280.666,23103
61,0,-0.0225352,0.0359121,-0.0186634,-11.2267,23132.9
61,1,-0.020666,0.0409856,-0.0248051,-179.626,23129.9
61,2,-0.015478,0.039002,-0.019846,-834.515,23153.9
61,3,-0.0233744,0.0328985,-0.0178242,-142.204,23100
61,4,-0.0125025,0.0317922,-0.0142384,134.72,23043.1
62,0,-0.0187968,0.0347677,-0.0167561,258.213,22995.2
62,1,-0.0292872,0.0338903,-0.0221729,172.142,23019.1
62,2,-0.0265406,0.0397649,-0.02038,-396.675,23076
62,3,-0.0103663,0.0337759,-0.0180531,-348.026,23019.1
62,4,-0.00903114,0.0314489,-0.0108051,-22.4533,22992.2
63,0,-0.0239085,0.0337377,-0.0145817,755.928,22848.5
63,1,-0.011854,0.0348058,-0.0204945,329.315,23007.2
63,2,-0.012617,0.0391546,-0.0220585,-228.275,23031.1
63,3,0.005541,0.034577,-0.0187778,-336.8,23010.2
63,4,0.0295736,0.0317541,-0.0192738,7.48444,22983.2
64,0,0.0277807,0.0269476,-0.0149632,722.248,22935.3
64,1,0.013056,0.0344625,-0.0185871,415.386,23049.1
64,2,0.010996,0.0382391,-0.0233936,-157.173,23114.9
64,3,0.027857,0.0350729,-0.0188923,-385.448,23135.9
64,4,0.0225927,0.033547,-0.0196934,97.2977,23183.8
65,0,0.0325491,0.0239721,-0.0141621,37.4222,23174.8
65,1,0.0322439,0.0329748,-0.0182438,591.27,23219.7
65,2,0.0266363,0.0373998,-0.0227833,-235.76,23297.6
65,3,0.0186636,0.0336233,-0.0240803,-475.262,23393.4
65,4,0.0202657,0.0344625,-0.0194645,-261.955,23402.3
66,0,0.0312139,0.0304571,-0.0143147,-145.947,23378.4
66,1,0.0135137,0.0333944,-0.0184727,475.262,23402.3
66,2,0.000238571,0.0362936,-0.0209522,-3.74222,23477.2
66,3,-0.00231728,0.0372854,-0.0306034,-490.231,23587.9
66,4,-0.0202082,0.0357977,-0.0214481,-699.795,23552
67,0,-0.0264643,0.0338522,-0.017786,-44.9066,23495.1
67,1,-0.0111292,0.0320593,-0.0195026,217.049,23486.2
67,2,-0.0213526,0.0355306,-0.0196934,-82.3288,23531.1
67,3,-0.0417612,0.0404134,-0.0308323,-344.284,23540
67,4,-0.0234507,0.0380865,-0.0193501,-1317.26,23567
68,0,-0.00273689,0.0328222,-0.017519,-67.3599,23528.1
68,1,0.00378624,0.0299612,-0.0196171,265.697,23474.2
68,2,-0.00578865,0.0353017,-0.0188541,-78.5866,23501.1
68,3,-0.0033091,0.0403753,-0.0248432,-714.764,23471.2
68,4,-0.00037178,0.0383535,-0.0226307,-1062.79,23537.1
69,0,-0.0150584,0.0331655,-0.0170612,-250.729,23477.2
69,1,-0.0119685,0.0309148,-0.0147724,164.658,23429.3
69,2,-0.012121,0.0358739,-0.0164509,-33.68,23402.3
69,3,-0.0229166,0.0355688,-0.0217915,0,23429.3
69,4,-0.0143717,0.0385061,-0.0221729,-445.324,23477.2
70,0,0.0162603,0.0350729,-0.0167179,-228.275,23414.3
70,1,0.00439659,0.0304952,-0.0116444,190.853,23381.4
70,2,-0.0113581,0.0343099,-0.0152302,497.715,23261.6
70,3,-0.00624641,0.0347295,-0.0207996,145.947,23348.4
70,4,-0.0129984,0.039002,-0.0228596,-265.697,23405.3
71,0,-0.0194834,0.0356069,-0.0182819,-415.386,23360.4
71,1,-0.018606,0.0318685,-0.0129795,0,23342.5
71,2,-0.0188349,0.0316015,-0.0153065,744.701,23303.5
71,3,-0.0361918,0.0342336,-0.019846,449.066,23357.4
71,4,-0.0294016,0.0384298,-0.0226688,-542.622,23390.4
72,0,-0.0158976,0.034844,-0.0193501,-419.128,23426.3
72,1,-0.00449165,0.0328222,-0.0184345,-18.7111,23459.2
72,2,-0.0014399,0.0251928,-0.0143528,22.4533,23468.2
72,3,0.0137045,0.0339666,-0.0196934,497.715,23483.2
72,4,0.0121023,0.0383535,-0.0217152,-22.4533,23602.9
73,0,0.016451,0.0347677,-0.0203037,-437.84,23767.6
73,1,0.0217916,0.033814,-0.0197315,-340.542,23761.6
73,2,0.0248052,0.0224081,-0.0154209,-127.235,23764.6
73,3,0.0339223,0.0340047,-0.0184727,389.191,23812.5
